betas
8.0e-7
1.6e-6
2.4e-6
3.2000000000000003e-6
4.0e-6
4.8e-6
5.600000000000001e-6
6.4000000000000006e-6
7.2e-6
8.000000000000001e-6
8.8e-6
9.6e-6
1.04e-5
1.12e-5
1.2000000000000002e-5
1.2800000000000001e-5
1.36e-5
1.4400000000000003e-5
1.5200000000000002e-5
1.6e-5
1.6800000000000002e-5
1.76e-5
1.84e-5
1.9200000000000003e-5
2.0e-5
